id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_subphylum_name,taxon_superclass_name,taxon_class_name,taxon_subclass_name,taxon_superorder_name,taxon_order_name,taxon_suborder_name,taxon_superfamily_name,taxon_family_name,taxon_subfamily_name,taxon_supertribe_name,taxon_tribe_name,taxon_subtribe_name,taxon_genus_name,taxon_genushybrid_name,taxon_species_name,taxon_hybrid_name,taxon_subspecies_name,taxon_variety_name,taxon_form_name
8739058,2016/09/18 12:16 PM NZST,2016-09-18,2016-09-18 00:16:00 UTC,Wellington,,695735,zoology,2017-11-09 11:36:31 UTC,2017-11-09 18:27:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8739058,https://static.inaturalist.org/photos/11728766/medium.jpg?1510227364,,,,false,2,0,false,,"Fitzherbert, Palmerston North, New Zealand",-40.3796611111,175.6183305556,,,,false,,,White basket fungus,Ileodictyon cibarium,white basket fungus,Fungi,382779,Fungi,Basidiomycota,,,Agaricomycetes,,,Phallales,,,Phallaceae,,,,,Ileodictyon,,Ileodictyon cibarium,,,,
8739060,2016/12/28 11:17 PM NZDT,2016-12-28,2016-12-28 10:17:00 UTC,Wellington,,695735,zoology,2017-11-09 11:37:35 UTC,2017-11-10 03:08:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8739060,https://static.inaturalist.org/photos/11728768/medium.jpg?1510227446,,,,false,1,0,false,,"Massey University, Palmerston North, New Zealand",-40.3800305556,175.61815,,,,false,,,Puriri Moth,Aenetus virescens,Puriri moth,Insecta,409639,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Hepialoidea,Hepialidae,,,,,Aenetus,,Aenetus virescens,,,,
8786219,Mon Nov 13 2017 11:45:51 GMT+1300 (GMT+13),2017-11-13,2017-11-12 21:45:51 UTC,Nuku'alofa,,695735,zoology,2017-11-12 22:54:09 UTC,2017-11-13 01:23:13 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/8786219,https://static.inaturalist.org/photos/11792726/medium.jpg?1510527271,,,,false,0,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3848833333,175.6215366667,5,,,false,,,Pontania,Pontania,,Insecta,83852,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Symphyta,Tenthredinoidea,Tenthredinidae,Nematinae,,Nematini,,Pontania,,,,,,
8787752,Mon Nov 13 2017 12:22:52 GMT+1300 (GMT+13),2017-11-13,2017-11-12 22:22:52 UTC,Nuku'alofa,,695735,zoology,2017-11-13 01:09:32 UTC,2017-11-13 01:33:50 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/8787752,https://static.inaturalist.org/photos/11795251/medium.jpg?1510535379,,,"Pale yellow, almost transparent body with brown central stripe and an orange head. Seems to be spinning a web to keep its leaf folded.",false,0,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3863116667,175.6230783333,5,,,false,,,Butterflies and Moths,Lepidoptera,Butterflies and Moths,Insecta,47157,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,,,,,,,,,,,,,
8787960,Mon Nov 13 2017 12:10:21 GMT+1300 (GMT+13),2017-11-13,2017-11-12 23:10:21 UTC,Nuku'alofa,,695735,zoology,2017-11-13 01:27:28 UTC,2018-11-06 12:14:10 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/8787960,https://static.inaturalist.org/photos/11795613/medium.jpg?1510536460,,,,false,1,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3862116667,175.6221916667,10,,,false,,,Zorion,Zorion guttigerum,,Insecta,399220,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Cerambycidae,Cerambycinae,,Aphneopini,,Zorion,,Zorion guttigerum,,,,
8788024,Mon Nov 13 2017 12:17:39 GMT+1300 (GMT+13),2017-11-13,2017-11-12 23:17:39 UTC,Nuku'alofa,,695735,zoology,2017-11-13 01:33:02 UTC,2018-02-01 06:31:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8788024,https://static.inaturalist.org/photos/11795709/medium.jpg?1510536794,,,,false,3,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3861883333,175.6227416667,10,,,false,,,Red Damselfly,Xanthocnemis zealandica,Red Damselfly,Insecta,338504,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Xanthocnemis,,Xanthocnemis zealandica,,,,
8788224,Mon Nov 13 2017 11:22:11 GMT+1300 (GMT+13),2017-11-13,2017-11-12 21:22:11 UTC,Nuku'alofa,,695735,zoology,2017-11-13 01:49:11 UTC,2017-11-15 04:20:02 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8788224,https://static.inaturalist.org/photos/11796071/medium.jpg?1510537761,,,"Didn’t get the whole weta but looks like Wellington, with the light stripes breaking along the midline. The only other tree weta in the area is H. thoracica, which doesn't have prominent stripes.",false,1,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3848133333,175.6212916667,10,,,false,,,Wellington Tree Weta,Hemideina crassidens,Wellington Tree Weta,Insecta,85227,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Orthoptera,Ensifera,Stenopelmatoidea,Anostostomatidae,Deinacridinae,,,,Hemideina,,Hemideina crassidens,,,,
8791549,2017/11/13 2:44 PM NZDT,2017-11-13,2017-11-13 01:44:00 UTC,Wellington,,686442,axons,2017-11-13 07:23:41 UTC,2018-06-26 07:32:40 UTC,research,CC-BY,https://www.inaturalist.org/observations/8791549,https://static.inaturalist.org/photos/11802114/medium.jpg?1510557604,,,,false,1,0,false,,"Massey University, Palmerston North, New Zealand",-40.3808865456,175.6165194511,15,,,false,,,Steelblue Ladybug,Halmus chalybeus,Steelblue Ladybird,Insecta,244625,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Chilocorinae,,,,Halmus,,Halmus chalybeus,,,,
8791550,2017/11/13 2:46 PM NZDT,2017-11-13,2017-11-13 01:46:00 UTC,Wellington,,686442,axons,2017-11-13 07:23:41 UTC,2017-11-13 08:44:10 UTC,research,CC-BY,https://www.inaturalist.org/observations/8791550,https://static.inaturalist.org/photos/11802115/medium.jpg?1510557609,,,,false,1,0,false,,"Massey University, Palmerston North, New Zealand",-40.3811092523,175.617589652,4,,,false,,,Mahoe Leafspot,Cephaleuros lagerheimii,Mahoe Leafspot,Plantae,381513,Plantae,Chlorophyta,,,Ulvophyceae,,,Trentepohliales,,,Trentepohliaceae,,,,,Cephaleuros,,Cephaleuros lagerheimii,,,,
8791551,2017/11/13 2:43 PM NZDT,2017-11-13,2017-11-13 01:43:00 UTC,Wellington,,686442,axons,2017-11-13 07:23:41 UTC,2017-11-13 07:42:46 UTC,research,CC-BY,https://www.inaturalist.org/observations/8791551,https://static.inaturalist.org/photos/11802116/medium.jpg?1510557611,,,,false,1,0,false,,"Massey University, Palmerston North, New Zealand",-40.3809212797,175.6166481972,4,,,false,,,Mahoe Leafspot,Cephaleuros lagerheimii,Mahoe Leafspot,Plantae,381513,Plantae,Chlorophyta,,,Ulvophyceae,,,Trentepohliales,,,Trentepohliaceae,,,,,Cephaleuros,,Cephaleuros lagerheimii,,,,
8791552,2017/11/13 2:43 PM NZDT,2017-11-13,2017-11-13 01:43:00 UTC,Wellington,,686442,axons,2017-11-13 07:23:42 UTC,2017-11-13 17:56:17 UTC,research,CC-BY,https://www.inaturalist.org/observations/8791552,https://static.inaturalist.org/photos/11802117/medium.jpg?1510557614,,,,false,1,0,false,,"Fitzherbert, Palmerston North, New Zealand",-40.3848502073,175.622355938,31,,,false,,,Metrosideros perforata,Metrosideros perforata,Climbing Rata,Plantae,366726,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Myrtaceae,Myrtoideae,,Metrosidereae,,Metrosideros,,Metrosideros perforata,,,,
9109228,Wed Dec 09 2015 20:32:52 GMT+0100 (GMT+1),2015-12-09,2015-12-09 19:32:52 UTC,Amsterdam,,731014,harmypotter,2017-12-10 11:02:16 UTC,2019-02-17 20:21:54 UTC,casual,,https://www.inaturalist.org/observations/9109228,https://static.inaturalist.org/photos/12307167/medium.jpg?1512903739,,,,false,4,0,true,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.38805,175.6189116667,10,,,false,,,Sapphire tower,Puya alpestris,Sapphire tower,Plantae,431518,Plantae,Tracheophyta,Angiospermae,,Liliopsida,,,Poales,,,Bromeliaceae,Puyoideae,,,,Puya,,Puya alpestris,,,,
9544665,Sun Jan 21 2018 15:42:47 GMT+1300 (GMT+13),2018-01-21,2018-01-21 02:42:47 UTC,Nuku'alofa,,121474,johnflower,2018-01-21 02:44:14 UTC,2018-01-21 05:53:17 UTC,research,CC0,https://www.inaturalist.org/observations/9544665,https://static.inaturalist.org/photos/13022103/medium.jpg?1516505571,,,Near a geocache.,false,1,0,false,3,"Springdale Park, Fitzherbert, Manawatu-Wanganui, NZ",-40.3835684517,175.629768558,22,,,false,,,Oyster Rollrim,Tapinella panuoides,Oyster Rollrim,Fungi,118202,Fungi,Basidiomycota,,,Agaricomycetes,,,Boletales,,,Tapinellaceae,,,,,Tapinella,,Tapinella panuoides,,,,
9567665,Tue Jan 23 2018 14:10:12 GMT+1300 (GMT+13),2018-01-23,2018-01-23 01:10:12 UTC,Nuku'alofa,,695735,zoology,2018-01-23 01:14:31 UTC,2018-02-01 06:53:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9567665,https://static.inaturalist.org/photos/13059730/medium.jpg?1516670076,,,,false,4,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.3862383333,175.6165166667,5,,,false,,,Blue Damselfly,Austrolestes colensonis,Blue Damselfly,Insecta,126269,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,,Lestidae,,,,,Austrolestes,,Austrolestes colensonis,,,,
9567786,Tue Jan 23 2018 14:09:05 GMT+1300 (GMT+13),2018-01-23,2018-01-23 01:09:05 UTC,Nuku'alofa,,695735,zoology,2018-01-23 01:21:07 UTC,2019-05-21 12:18:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9567786,https://static.inaturalist.org/photos/13061279/medium.jpg?1516675182,,,(Sorry low quality) Bright orange damselfly ,false,2,0,false,3,"Massey University, Palmerston North, Manawatu-Wanganui, NZ",-40.38615,175.6165166667,50,,open,false,,,Red Damselfly,Xanthocnemis zealandica,Red Damselfly,Insecta,338504,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Xanthocnemis,,Xanthocnemis zealandica,,,,
